Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP0205,IT,25,823997,19,33.3,70,No
EMP0206,Marketing,31,327213,18,55.0,70,No
EMP0207,Operations,40,746029,11,56.5,84,No
EMP0208,IT,34,1312468,5,42.5,61,No
EMP0209,HR,49,452895,18,59.5,94,Yes
EMP0210,IT,40,1386756,7,36.5,56,No
EMP0211,IT,21,749698,7,35.5,88,No
EMP0212,IT,28,1031910,10,31.2,43,No
EMP0213,IT,23,1735398,4,46.7,80,No
EMP0214,Operations,32,485953,0,34.3,75,No
EMP0215,HR,54,879820,1,36.4,68,No
EMP0216,Operations,34,793551,3,33.3,64,No
EMP0217,Finance,46,1415801,1,38.1,55,No
EMP0218,HR,24,816428,10,58.2,44,No
EMP0219,Finance,33,1221364,13,36.9,68,No
EMP0220,Operations,21,935539,15,33.1,65,No
EMP0221,Operations,38,367421,10,48.8,69,No
EMP0222,Sales,33,325866,4,44.1,99,No
EMP0223,Marketing,41,814718,9,59.5,100,Yes
EMP0224,IT,55,1724032,14,32.9,59,No
EMP0225,Finance,31,1217699,14,36.9,82,No
EMP0226,IT,30,769385,7,52.5,78,No
EMP0227,Marketing,39,496000,2,34.3,61,No
EMP0228,Sales,59,648249,18,30.4,94,Yes
EMP0229,Marketing,53,1203860,18,42.0,53,No
EMP0230,Marketing,35,797965,19,58.0,100,Yes
EMP0231,Sales,26,1776266,16,49.8,62,No
EMP0232,Marketing,32,1043375,5,35.1,95,No
EMP0233,Sales,35,1650542,5,31.6,81,No
EMP0234,Operations,43,1739013,11,47.8,68,No
EMP0235,Finance,41,1287526,4,35.2,76,No
EMP0236,Finance,46,528840,16,51.4,69,No
EMP0237,HR,40,1574265,7,43.5,53,No
EMP0238,HR,50,1753540,7,30.3,63,No
EMP0239,Finance,46,1396420,9,45.0,77,No
EMP0240,Sales,48,851991,19,44.8,62,No
EMP0241,Marketing,34,398379,20,49.8,70,No
EMP0242,Marketing,26,1451065,4,33.5,59,No
EMP0243,Operations,25,938583,16,42.6,79,No
EMP0244,Operations,51,1757375,17,33.9,77,No
EMP0245,IT,43,678050,8,53.3,73,No
EMP0246,HR,33,481250,7,34.0,71,No
EMP0247,Sales,36,1675482,6,44.7,76,No
EMP0248,Finance,38,774685,11,33.4,44,No
EMP0249,Operations,54,1531515,12,57.1,76,No
EMP0250,Sales,55,1683152,7,30.5,72,No
EMP0251,HR,40,823124,13,40.8,66,No
EMP0252,IT,23,500022,20,42.2,58,No
EMP0253,HR,41,1256644,1,40.2,88,No
EMP0254,IT,29,640799,9,35.4,61,No
EMP0255,Operations,33,1379062,9,55.9,84,No
EMP0256,Finance,36,1190610,18,59.7,43,No
EMP0257,HR,45,644049,3,31.4,77,No
EMP0258,IT,29,1597213,3,46.3,79,No
EMP0259,Operations,27,1602083,12,46.6,78,No
EMP0260,Marketing,30,1090150,7,56.6,81,No
EMP0261,HR,44,1771687,14,40.0,43,No
EMP0262,HR,52,1206737,9,58.6,77,No
EMP0263,IT,52,1434492,5,35.3,64,No
EMP0264,Operations,48,915674,14,47.2,77,No
EMP0265,HR,58,1397378,16,56.3,87,Yes
EMP0266,Marketing,22,1190361,3,32.3,58,No
EMP0267,HR,45,1367891,4,49.9,69,No
EMP0268,IT,30,1796525,0,38.7,83,No
EMP0269,Operations,41,354113,11,45.1,61,No
EMP0270,Marketing,45,1505733,13,58.6,66,No
EMP0271,Marketing,48,1511051,12,56.8,83,No
EMP0272,Operations,60,803681,11,48.1,69,No
EMP0273,IT,60,919497,7,32.7,84,No
EMP0274,Operations,46,1549387,12,47.5,84,No
EMP0275,IT,44,1754901,18,41.2,64,No
EMP0276,Sales,27,251926,7,32.5,70,No
EMP0277,Finance,40,352735,1,44.4,40,No
EMP0278,Finance,27,1156744,7,48.2,66,No
EMP0279,Operations,27,877330,17,35.0,65,No
EMP0280,Operations,30,1377093,1,51.7,66,No
EMP0281,Marketing,48,1453951,16,37.9,58,No
EMP0282,Operations,55,1515427,0,54.9,41,No
EMP0283,Operations,22,421616,6,58.6,69,No
EMP0284,Marketing,23,539120,18,34.3,89,Yes
EMP0285,HR,25,1233527,9,52.7,90,Yes
EMP0286,IT,43,1783313,12,36.2,74,No
EMP0287,IT,56,1077304,19,51.0,100,Yes
EMP0288,Operations,48,1614184,9,48.6,65,No
EMP0289,Marketing,42,468302,18,45.1,90,Yes
EMP0290,Marketing,26,886130,14,42.8,87,Yes
EMP0291,Marketing,59,622346,17,49.9,57,No
EMP0292,Finance,55,1306455,12,48.8,88,Yes
EMP0293,HR,30,412286,15,39.2,58,No
EMP0294,Sales,21,1532580,7,39.0,62,No
EMP0295,IT,25,731637,11,43.2,90,Yes
EMP0296,Marketing,44,1293075,4,47.5,87,No
EMP0297,Operations,53,1752520,4,33.0,93,No
EMP0298,IT,38,1240051,10,55.6,64,No
EMP0299,Finance,21,1071619,0,43.2,71,No
EMP0300,Sales,42,1688225,19,41.5,70,No
EMP0301,HR,25,901601,16,41.3,34,No
EMP0302,Finance,53,609895,9,41.9,60,No
EMP0303,Operations,22,1430166,7,37.8,86,No
EMP0304,Marketing,33,1009666,1,30.1,62,No
EMP0305,Finance,43,259342,18,39.5,46,No
EMP0306,Sales,26,258653,18,51.6,63,No
EMP0307,IT,40,1451350,17,43.3,68,No
EMP0308,HR,57,1333123,10,37.4,60,No
EMP0309,Marketing,48,1600526,20,51.7,56,No
EMP0310,Operations,50,1181846,9,43.0,61,No
EMP0311,IT,39,1100181,13,57.7,50,No
EMP0312,Marketing,60,501753,2,36.9,77,No
EMP0313,Marketing,43,688911,8,44.4,88,Yes
EMP0314,IT,22,694621,19,30.8,63,No
EMP0315,Sales,28,347408,3,56.6,71,No
EMP0316,IT,59,1566800,7,39.0,67,No
EMP0317,Operations,49,1072996,8,30.9,52,No
EMP0318,Finance,53,464938,0,35.2,72,No
EMP0319,Finance,39,1791374,11,31.9,61,No
EMP0320,Operations,48,723520,2,34.6,65,No
EMP0321,Operations,41,800519,15,35.7,79,No
EMP0322,Operations,28,1313833,10,40.5,82,No
EMP0323,HR,36,1226716,5,57.0,68,No
EMP0324,Marketing,24,529831,20,45.4,67,No
EMP0325,Sales,44,853315,7,33.7,44,No
EMP0326,Sales,51,337293,19,42.7,60,No
EMP0327,IT,31,325714,16,53.7,63,No
EMP0328,HR,34,1362990,9,32.3,70,No
EMP0329,HR,21,815796,13,34.8,73,No
EMP0330,Sales,48,575758,2,59.9,49,No
EMP0331,HR,57,1210697,15,52.1,43,No
EMP0332,IT,22,1220643,20,42.9,71,No
EMP0333,Operations,32,1038879,17,33.9,71,No
EMP0334,Marketing,38,962614,2,53.6,72,No
EMP0335,Finance,37,1761135,7,43.3,62,No
EMP0336,Finance,58,1578636,11,42.8,86,Yes
EMP0337,Sales,41,1752696,17,37.6,88,Yes
EMP0338,Marketing,31,486258,7,42.2,64,No
EMP0339,Operations,38,755561,17,56.1,65,No
EMP0340,IT,38,1082842,4,48.5,100,No
EMP0341,IT,25,722578,6,37.8,79,No
EMP0342,Marketing,35,1345627,19,40.5,81,No
EMP0343,Operations,34,1274244,3,31.2,71,No
EMP0344,Marketing,57,1001843,3,40.2,84,No
EMP0345,HR,60,1021074,6,39.7,67,No
EMP0346,Finance,30,1378945,17,37.7,67,No
EMP0347,Marketing,42,1748792,2,47.2,82,No
EMP0348,HR,33,895213,15,40.4,61,No
EMP0349,HR,30,269134,12,45.6,52,No
EMP0350,HR,48,553791,16,58.9,75,No
EMP0351,Sales,24,359880,7,31.2,70,No
EMP0352,HR,46,1272060,18,37.0,74,No
EMP0353,Finance,22,519701,1,59.9,73,No
EMP0354,HR,36,1358173,0,58.1,84,No
EMP0355,HR,24,630306,3,51.4,75,No
EMP0356,Operations,25,649646,7,33.0,55,No
EMP0357,Finance,40,1350565,11,52.6,49,No
EMP0358,Sales,38,820457,7,43.7,100,No
EMP0359,Sales,47,1447182,18,59.2,72,No
EMP0360,Operations,38,1050931,17,51.6,47,No
EMP0361,Finance,56,1591391,18,34.1,83,No
EMP0362,Operations,22,303457,15,33.4,62,No
EMP0363,IT,37,1023354,0,44.9,68,No
EMP0364,Sales,43,690792,20,34.7,52,No
EMP0365,IT,41,696454,9,45.7,73,No
EMP0366,Marketing,41,385512,20,37.2,66,No
EMP0367,Sales,31,1505591,13,45.1,80,No
EMP0368,IT,47,855645,18,36.7,62,No
EMP0369,Operations,45,392499,7,37.7,63,No
EMP0370,Sales,54,1431445,17,37.9,65,No
EMP0371,HR,24,1480882,18,51.3,58,No
EMP0372,Marketing,56,900393,15,42.0,81,No
EMP0373,IT,51,279860,1,59.1,88,No
EMP0374,IT,41,928520,10,49.9,80,No
EMP0375,Finance,27,791148,12,38.2,74,No
EMP0376,Sales,38,575017,12,51.0,64,No
EMP0377,Finance,54,682091,0,32.1,50,No
EMP0378,HR,27,1269931,12,34.6,72,No
EMP0379,IT,35,839908,1,49.9,70,No
EMP0380,HR,26,1116539,8,56.2,73,No
EMP0381,Operations,54,1141834,4,50.0,87,No
EMP0382,Sales,44,1134041,16,49.1,88,Yes
EMP0383,HR,26,814653,7,50.5,51,No
EMP0384,Marketing,40,1275928,0,37.3,78,No
EMP0385,Sales,27,1630622,20,44.0,67,No
EMP0386,Marketing,36,689214,20,47.1,63,No
EMP0387,Sales,31,705624,4,43.6,74,No
EMP0388,Marketing,36,778980,17,34.0,85,Yes
EMP0389,Operations,37,1160542,9,56.3,59,No
EMP0390,Finance,36,278097,8,40.8,43,No
EMP0391,Sales,60,1767085,10,54.3,88,Yes
EMP0392,Finance,42,1173924,19,43.8,87,Yes
EMP0393,Finance,32,1532128,5,47.6,77,No
EMP0394,Finance,38,1653412,18,33.1,85,Yes
EMP0395,Sales,22,652327,6,31.1,47,No
EMP0396,IT,40,655227,7,42.9,56,No
EMP0397,Finance,40,1700502,5,59.2,100,No
EMP0398,Sales,33,572737,2,31.0,54,No
EMP0399,IT,54,1660976,17,52.2,70,No
EMP0400,Operations,53,1403514,9,30.1,95,Yes
EMP0401,HR,24,1181501,14,51.6,45,No
EMP0402,HR,32,743278,13,59.4,47,No
EMP0403,Operations,25,1567354,14,55.6,83,No
EMP0404,Operations,32,1643680,8,46.2,75,No
EMP0405,Sales,35,539683,20,30.5,75,No
EMP0406,Operations,45,271815,19,30.6,79,No
EMP0407,Operations,29,553431,18,47.4,66,No
EMP0408,Marketing,53,1141156,20,48.8,31,No
EMP0409,HR,21,1427478,20,45.1,46,No
EMP0410,Sales,30,756436,4,52.6,51,No
EMP0411,Sales,39,371588,1,51.7,47,No
EMP0412,Marketing,39,820504,4,37.1,62,No
EMP0413,Operations,59,1419233,20,31.4,53,No
EMP0414,HR,49,1632914,12,53.1,84,No
EMP0415,Operations,42,1482405,0,34.1,59,No
EMP0416,Operations,40,1315998,18,54.4,57,No
EMP0417,Operations,47,755402,11,54.9,87,Yes
EMP0418,Marketing,36,1104711,9,34.6,68,No
EMP0419,Sales,29,336558,3,59.2,52,No
EMP0420,HR,54,1313262,4,47.0,72,No
EMP0421,Sales,37,892827,7,54.1,59,No
EMP0422,Marketing,40,579400,3,41.6,79,No
EMP0423,Marketing,31,1342565,9,47.6,80,No
EMP0424,Marketing,52,780557,8,37.3,67,No
EMP0425,Operations,27,1208510,1,37.3,57,No
EMP0426,Marketing,47,1652432,10,50.6,73,No
EMP0427,Sales,53,293431,17,48.5,83,No
EMP0428,Operations,30,1631277,15,53.2,54,No
EMP0429,IT,44,1295506,7,59.2,88,No
EMP0430,Finance,40,1352110,15,30.3,48,No
EMP0431,HR,42,1488040,9,50.9,69,No
EMP0432,IT,55,862094,7,56.3,77,No
EMP0433,IT,52,443404,11,54.6,90,Yes
EMP0434,IT,43,1671456,8,53.3,70,No
EMP0435,Marketing,43,643724,10,50.3,72,No
EMP0436,Finance,27,1772033,7,36.7,52,No
EMP0437,Marketing,35,733075,16,41.1,33,No
EMP0438,HR,45,715062,3,41.9,70,No
EMP0439,Finance,46,270238,12,38.1,88,Yes
EMP0440,Finance,54,1762899,0,47.2,78,No
EMP0441,IT,49,708654,16,35.3,70,No
EMP0442,Sales,23,1332950,7,33.5,66,No
EMP0443,Finance,22,310830,1,42.4,97,No
EMP0444,Sales,46,1757018,9,32.1,56,No
EMP0445,Finance,53,710462,1,49.3,47,No
EMP0446,Marketing,60,1440770,5,50.3,65,No
EMP0447,Marketing,40,1067155,4,59.6,48,No
EMP0448,HR,32,345053,14,32.4,65,No
EMP0449,Finance,33,1142356,12,30.5,49,No
EMP0450,IT,35,1044689,19,39.1,52,No
EMP0451,IT,25,616674,20,30.8,56,No
EMP0452,Marketing,29,1405515,20,41.5,73,No
EMP0453,Operations,52,1542988,12,57.9,65,No
EMP0454,Operations,57,978591,14,37.4,72,No
EMP0455,Sales,27,322228,10,34.3,30,No
EMP0456,Marketing,38,807738,11,43.6,47,No
EMP0457,Marketing,49,324053,1,38.8,84,No
EMP0458,Finance,39,680842,10,40.9,58,No
EMP0459,Sales,21,391695,19,44.7,72,No
EMP0460,HR,43,1079238,13,39.8,70,No
EMP0461,Finance,24,391791,9,38.3,74,No
EMP0462,Finance,49,1195381,19,40.8,41,No
EMP0463,HR,57,1251364,16,40.3,58,No
EMP0464,Marketing,59,1212392,20,59.0,68,No
EMP0465,Operations,58,366795,0,48.1,70,No
EMP0466,Finance,40,1628650,13,59.7,48,No
EMP0467,Sales,58,446158,7,53.6,73,No
EMP0468,Marketing,34,1152920,19,36.8,77,No
EMP0469,IT,34,747378,14,32.7,58,No
EMP0470,Finance,60,1322420,9,32.1,86,Yes
EMP0471,Finance,55,632975,19,31.3,86,Yes
EMP0472,Operations,52,411420,16,36.2,72,No
EMP0473,Marketing,40,1638794,6,51.9,74,No
EMP0474,HR,47,1771467,20,40.0,76,No
EMP0475,HR,47,1344531,6,54.1,98,No
EMP0476,HR,47,509783,18,52.8,62,No
EMP0477,IT,52,1337030,8,52.4,65,No
EMP0478,Finance,40,1159118,4,45.7,56,No
EMP0479,Operations,54,1111127,5,51.7,63,No
EMP0480,Marketing,57,1329428,6,56.0,74,No
EMP0481,Marketing,26,541932,12,51.1,74,No
EMP0482,HR,29,1448740,16,39.2,83,No
EMP0483,HR,32,502004,1,53.6,81,No
EMP0484,IT,47,1698680,0,44.0,100,No
EMP0485,Marketing,51,1323907,15,52.7,97,Yes
EMP0486,IT,59,1565629,13,57.1,81,No
EMP0487,Sales,28,466247,12,51.7,61,No
EMP0488,Marketing,58,1337311,6,48.5,61,No
EMP0489,IT,48,1350923,16,40.3,54,No
EMP0490,Finance,52,1078146,14,46.7,69,No
EMP0491,Marketing,25,1678567,15,38.2,60,No
EMP0492,Operations,23,464381,2,33.9,60,No
EMP0493,Marketing,25,1199310,8,39.8,68,No
EMP0494,Marketing,29,1377007,1,42.4,79,No
EMP0495,Sales,53,495430,0,58.4,55,No
EMP0496,Sales,28,1347884,8,36.0,81,No
EMP0497,Operations,27,345631,16,47.7,71,No
EMP0498,Marketing,22,352221,4,41.7,73,No
EMP0499,Operations,25,981795,16,50.4,86,Yes
EMP0500,Finance,51,530426,12,48.5,100,Yes
EMP0501,Finance,44,1656723,4,37.7,58,No
EMP0502,Sales,26,982831,4,56.5,82,No
EMP0503,HR,22,1495792,15,49.7,72,No
EMP0504,IT,30,1687355,16,39.6,65,No
EMP0505,Marketing,43,1230991,8,41.6,56,No
EMP0506,Sales,47,726476,19,53.3,91,Yes
EMP0507,HR,35,1521661,2,59.2,80,No
EMP0508,HR,34,717344,8,31.4,61,No
EMP0509,Operations,40,1568342,7,48.6,64,No
EMP0510,Finance,45,1271807,20,44.4,64,No
EMP0511,Marketing,37,1678868,17,49.3,70,No
EMP0512,HR,30,1799203,19,35.6,58,No
EMP0513,HR,41,1250761,0,37.9,54,No
EMP0514,Marketing,25,1752520,7,35.1,97,No
EMP0515,Operations,21,1037252,20,36.9,82,No
EMP0516,HR,47,330188,11,55.3,61,No
EMP0517,HR,55,552982,12,56.7,55,No
EMP0518,HR,26,425852,2,54.9,59,No
EMP0519,Sales,57,1212785,11,55.0,72,No
EMP0520,Operations,43,826761,20,39.3,73,No
EMP0521,HR,36,664566,2,57.4,56,No
EMP0522,Finance,21,1156355,10,51.1,37,No
EMP0523,Operations,31,1528655,6,53.8,61,No
EMP0524,IT,22,920056,9,45.8,62,No
EMP0525,Marketing,31,980563,17,44.1,89,Yes
EMP0526,Sales,21,820538,8,47.2,62,No
EMP0527,Finance,37,1766931,1,44.8,67,No
EMP0528,HR,42,630120,0,39.9,72,No
EMP0529,Marketing,47,669552,13,42.4,83,No
EMP0530,Finance,58,442414,3,48.3,60,No
EMP0531,Sales,56,941380,2,36.1,61,No
EMP0532,HR,30,1565247,9,35.5,77,No
EMP0533,Marketing,23,254565,16,59.1,72,No
EMP0534,Marketing,49,1485705,7,57.5,70,No
EMP0535,Marketing,26,910504,8,58.6,39,No
EMP0536,IT,35,1347293,10,43.8,73,No
EMP0537,Finance,24,562537,3,45.7,53,No
EMP0538,IT,43,1043190,6,50.9,70,No
EMP0539,Sales,31,720306,11,59.9,66,No
EMP0540,Marketing,59,1182120,5,53.8,52,No
EMP0541,Operations,50,1566283,20,38.4,69,No
EMP0542,Operations,37,388096,17,47.1,68,No
EMP0543,IT,22,359345,15,32.2,63,No
EMP0544,Finance,24,1511146,20,34.5,45,No
